Product_ID,Product_Name,Category,Price_USD,Quantity_Sold,Total_Sales_USD,Order_Date,Customer_City
1001,Lipstick,Beauty,26,7,182,24-01-2025,Karachi
1002,Jacket,Fashion,254,6,1524,01-04-2026,Peshawar
1003,Gym Gloves,Sports,30,10,300,05-11-2025,Peshawar
1004,History Book,Books,45,6,270,05-01-2026,Lahore
1005,Tennis Ball,Sports,401,1,401,28-11-2025,Quetta
1006,Coffee Mug,Home,338,8,2704,06-06-2025,Lahore
1007,Gym Gloves,Sports,102,8,816,25-06-2025,Islamabad
1008,Gym Gloves,Sports,394,5,1970,15-03-2026,Islamabad
1009,Lipstick,Beauty,381,5,1905,28-02-2025,Lahore
1010,Science Book,Books,352,3,1056,11-04-2025,Islamabad
1011,Wireless Mouse,Electronics,291,10,2910,02-09-2025,Islamabad
1012,Table,Home,427,9,3843,17-07-2025,Karachi
1013,Math Guide,Books,126,1,126,17-08-2025,Islamabad
1014,Lamp,Home,42,2,84,08-09-2025,Quetta
1015,Science Book,Books,348,8,2784,23-12-2025,Quetta
1016,Smart Watch,Electronics,432,4,1728,20-03-2025,Karachi
1017,Science Book,Books,61,4,244,11-12-2025,Lahore
1018,Science Book,Books,202,6,1212,21-01-2025,Karachi
1019,Headphones,Electronics,250,5,1250,03-01-2026,Quetta
1020,Football,Sports,410,5,2050,25-09-2025,Islamabad
1021,Coffee Mug,Home,210,3,630,05-03-2026,Karachi
1022,Face Wash,Beauty,215,1,215,23-05-2025,Peshawar
1023,Perfume,Beauty,443,10,4430,04-10-2025,Karachi
1024,Lamp,Home,97,3,291,09-05-2025,Peshawar
1025,Math Guide,Books,11,6,66,27-06-2025,Karachi
1026,Shoes,Fashion,144,10,1440,27-07-2025,Karachi
1027,History Book,Books,71,6,426,07-01-2026,Islamabad
1028,Gym Gloves,Sports,104,2,208,10-11-2025,Lahore
1029,Coffee Mug,Home,464,4,1856,16-09-2025,Peshawar
1030,Gym Gloves,Sports,400,9,3600,03-06-2025,Quetta
1031,Jacket,Fashion,292,8,2336,25-10-2025,Karachi
1032,Jeans,Fashion,434,3,1302,07-03-2026,Islamabad
1033,Wireless Mouse,Electronics,465,2,930,17-02-2025,Karachi
1034,Math Guide,Books,209,9,1881,09-03-2026,Islamabad
1035,Table,Home,69,9,621,11-03-2026,Karachi
1036,Science Book,Books,486,1,486,19-09-2025,Quetta
1037,Keyboard,Electronics,115,5,575,24-01-2026,Lahore
1038,Headphones,Electronics,228,6,1368,21-06-2025,Karachi
1039,Shoes,Fashion,48,3,144,14-10-2025,Peshawar
1040,Table,Home,280,10,2800,05-02-2026,Quetta
1041,Tennis Ball,Sports,417,10,4170,04-02-2025,Quetta
1042,Gym Gloves,Sports,94,3,282,18-02-2026,Quetta
1043,Gym Gloves,Sports,491,7,3437,15-09-2025,Islamabad
1044,Lipstick,Beauty,109,4,436,02-05-2026,Islamabad
1045,Lipstick,Beauty,141,3,423,14-06-2025,Karachi
1046,Jacket,Fashion,369,5,1845,23-09-2025,Peshawar
1047,Football,Sports,64,8,512,18-04-2025,Lahore
1048,Cricket Bat,Sports,461,9,4149,08-02-2025,Peshawar
1049,Lamp,Home,356,8,2848,03-05-2025,Peshawar
1050,Tennis Ball,Sports,360,5,1800,16-01-2025,Islamabad
1051,Perfume,Beauty,275,5,1375,11-02-2025,Karachi
1052,Chair,Home,354,8,2832,19-03-2026,Peshawar
1053,Headphones,Electronics,90,10,900,12-10-2025,Lahore
1054,Novel,Books,66,6,396,01-10-2025,Islamabad
1055,Science Book,Books,13,7,91,10-02-2025,Islamabad
1056,Keyboard,Electronics,399,1,399,09-05-2026,Lahore
1057,Tennis Ball,Sports,496,9,4464,16-05-2025,Peshawar
1058,History Book,Books,410,2,820,22-04-2026,Quetta
1059,Tennis Ball,Sports,120,6,720,27-02-2025,Quetta
1060,Perfume,Beauty,192,8,1536,19-01-2025,Quetta
1061,Perfume,Beauty,153,10,1530,28-09-2025,Islamabad
1062,Headphones,Electronics,52,10,520,19-12-2025,Quetta
1063,T-Shirt,Fashion,155,1,155,20-07-2025,Lahore
1064,Wireless Mouse,Electronics,113,4,452,20-09-2025,Quetta
1065,Wireless Mouse,Electronics,206,5,1030,13-04-2026,Karachi
1066,Face Wash,Beauty,199,5,995,24-07-2025,Peshawar
1067,Lipstick,Beauty,425,7,2975,31-08-2025,Karachi
1068,Lamp,Home,324,6,1944,29-04-2026,Karachi
1069,Math Guide,Books,149,7,1043,15-01-2026,Lahore
1070,Shampoo,Beauty,374,7,2618,31-05-2025,Peshawar
1071,Coffee Mug,Home,90,8,720,03-06-2025,Islamabad
1072,Gym Gloves,Sports,214,7,1498,09-09-2025,Quetta
1073,Football,Sports,37,7,259,21-06-2025,Lahore
1074,Headphones,Electronics,275,7,1925,11-01-2025,Islamabad
1075,Wireless Mouse,Electronics,286,1,286,07-04-2025,Islamabad
1076,Coffee Mug,Home,292,1,292,08-01-2026,Peshawar
1077,T-Shirt,Fashion,427,1,427,02-11-2025,Quetta
1078,Keyboard,Electronics,66,2,132,16-10-2025,Quetta
1079,Lipstick,Beauty,234,3,702,10-06-2025,Karachi
1080,Shampoo,Beauty,213,9,1917,12-05-2025,Karachi
1081,Coffee Mug,Home,21,8,168,12-04-2025,Lahore
1082,T-Shirt,Fashion,27,4,108,06-12-2025,Peshawar
1083,Cricket Bat,Sports,287,3,861,30-10-2025,Quetta
1084,Science Book,Books,346,8,2768,10-05-2026,Quetta
1085,Novel,Books,194,2,388,20-08-2025,Islamabad
1086,Perfume,Beauty,91,4,364,30-01-2026,Islamabad
1087,Cricket Bat,Sports,264,3,792,13-07-2025,Karachi
1088,Lipstick,Beauty,495,2,990,22-03-2026,Peshawar
1089,Smart Watch,Electronics,248,7,1736,09-06-2025,Karachi
1090,Perfume,Beauty,484,8,3872,29-01-2026,Karachi
1091,Jacket,Fashion,273,3,819,04-06-2025,Peshawar
1092,Smart Watch,Electronics,310,5,1550,17-03-2025,Quetta
1093,Cricket Bat,Sports,405,4,1620,21-11-2025,Quetta
1094,Lipstick,Beauty,149,1,149,10-08-2025,Islamabad
1095,Shampoo,Beauty,406,7,2842,25-09-2025,Islamabad
1096,Wireless Mouse,Electronics,470,7,3290,02-10-2025,Lahore
1097,Novel,Books,169,8,1352,22-03-2025,Karachi
1098,Tennis Ball,Sports,218,9,1962,29-06-2025,Quetta
1099,Lipstick,Beauty,339,7,2373,21-01-2026,Peshawar
1100,T-Shirt,Fashion,442,4,1768,04-02-2026,Quetta
1101,Science Book,Books,150,7,1050,20-04-2025,Quetta
1102,Headphones,Electronics,115,1,115,31-01-2026,Karachi
1103,Gym Gloves,Sports,445,8,3560,06-04-2025,Lahore
1104,Chair,Home,296,10,2960,25-02-2025,Quetta
1105,Math Guide,Books,316,9,2844,31-08-2025,Peshawar
1106,T-Shirt,Fashion,303,1,303,26-01-2026,Lahore
1107,Smart Watch,Electronics,333,2,666,14-08-2025,Peshawar
1108,Face Wash,Beauty,229,9,2061,21-10-2025,Quetta
1109,Shoes,Fashion,271,1,271,30-05-2025,Karachi
1110,Face Wash,Beauty,415,8,3320,05-02-2025,Quetta
1111,History Book,Books,210,1,210,22-12-2025,Karachi
1112,Smart Watch,Electronics,486,5,2430,26-07-2025,Islamabad
1113,Football,Sports,296,1,296,19-03-2026,Quetta
1114,Shoes,Fashion,309,4,1236,22-09-2025,Peshawar
1115,Math Guide,Books,384,10,3840,08-08-2025,Quetta
1116,Gym Gloves,Sports,22,8,176,21-07-2025,Islamabad
1117,Shoes,Fashion,141,2,282,15-08-2025,Peshawar
1118,T-Shirt,Fashion,115,2,230,04-02-2025,Quetta
1119,Cricket Bat,Sports,488,6,2928,09-02-2025,Karachi
1120,Wireless Mouse,Electronics,182,4,728,12-01-2026,Islamabad
1121,Smart Watch,Electronics,315,10,3150,25-06-2025,Quetta
1122,Wireless Mouse,Electronics,364,5,1820,19-04-2025,Islamabad
1123,Gym Gloves,Sports,433,9,3897,07-08-2025,Quetta
1124,Math Guide,Books,108,5,540,04-06-2025,Lahore
1125,Gym Gloves,Sports,28,1,28,15-11-2025,Karachi
1126,Perfume,Beauty,206,7,1442,12-03-2026,Quetta
1127,Football,Sports,290,9,2610,18-11-2025,Peshawar
1128,Shoes,Fashion,485,8,3880,27-01-2026,Peshawar
1129,Shoes,Fashion,241,4,964,11-04-2025,Karachi
1130,Novel,Books,399,5,1995,04-12-2025,Karachi
1131,History Book,Books,35,9,315,09-02-2025,Islamabad
1132,Perfume,Beauty,127,7,889,11-05-2025,Islamabad
1133,Tennis Ball,Sports,17,5,85,24-03-2026,Karachi
1134,Smart Watch,Electronics,465,2,930,03-07-2025,Quetta
1135,Face Wash,Beauty,73,6,438,09-11-2025,Quetta
1136,Tennis Ball,Sports,105,9,945,08-03-2026,Peshawar
1137,Lipstick,Beauty,440,4,1760,04-05-2026,Quetta
1138,Jacket,Fashion,142,10,1420,05-12-2025,Peshawar
1139,Smart Watch,Electronics,316,8,2528,24-12-2025,Islamabad
1140,T-Shirt,Fashion,91,1,91,25-07-2025,Islamabad
1141,Gym Gloves,Sports,299,5,1495,14-08-2025,Peshawar
1142,Football,Sports,407,7,2849,10-03-2026,Quetta
1143,Gym Gloves,Sports,62,2,124,31-03-2025,Lahore
1144,Lamp,Home,296,6,1776,24-02-2025,Peshawar
1145,Lamp,Home,15,3,45,20-01-2026,Lahore
1146,Chair,Home,442,2,884,06-09-2025,Peshawar
1147,T-Shirt,Fashion,100,10,1000,13-11-2025,Peshawar
1148,Gym Gloves,Sports,201,2,402,04-11-2025,Peshawar
1149,History Book,Books,311,5,1555,01-12-2025,Quetta
1150,Chair,Home,30,10,300,04-06-2025,Lahore
1151,Football,Sports,276,8,2208,30-12-2025,Lahore
1152,Perfume,Beauty,459,3,1377,28-08-2025,Lahore
1153,Novel,Books,468,10,4680,16-11-2025,Lahore
1154,Gym Gloves,Sports,483,10,4830,10-03-2025,Quetta
1155,Keyboard,Electronics,54,2,108,24-06-2025,Peshawar
1156,Perfume,Beauty,498,1,498,09-05-2026,Islamabad
1157,Football,Sports,439,10,4390,18-01-2026,Lahore
1158,Perfume,Beauty,156,4,624,24-03-2025,Lahore
1159,History Book,Books,179,4,716,13-02-2025,Karachi
1160,Wireless Mouse,Electronics,176,6,1056,18-04-2025,Karachi
1161,Lipstick,Beauty,352,3,1056,30-09-2025,Quetta
1162,Novel,Books,21,9,189,06-02-2025,Islamabad
1163,Chair,Home,117,5,585,14-01-2026,Islamabad
1164,T-Shirt,Fashion,162,2,324,09-01-2026,Peshawar
1165,Headphones,Electronics,36,6,216,07-01-2025,Peshawar
1166,Jeans,Fashion,134,9,1206,21-04-2026,Quetta
1167,Gym Gloves,Sports,490,5,2450,02-01-2026,Karachi
1168,Wireless Mouse,Electronics,414,6,2484,25-02-2025,Quetta
1169,Smart Watch,Electronics,337,10,3370,23-03-2025,Karachi
1170,Coffee Mug,Home,101,8,808,06-08-2025,Karachi
1171,Cricket Bat,Sports,20,3,60,24-11-2025,Peshawar
1172,Lipstick,Beauty,283,10,2830,21-11-2025,Karachi
1173,Headphones,Electronics,353,5,1765,18-08-2025,Karachi
1174,Lamp,Home,222,6,1332,05-10-2025,Peshawar
1175,Coffee Mug,Home,364,4,1456,02-03-2026,Islamabad
1176,Math Guide,Books,145,1,145,10-03-2026,Peshawar
1177,Gym Gloves,Sports,310,10,3100,14-11-2025,Lahore
1178,Tennis Ball,Sports,194,8,1552,26-01-2025,Peshawar
1179,Shoes,Fashion,69,2,138,09-04-2026,Lahore
1180,Math Guide,Books,94,3,282,10-01-2026,Lahore
1181,Football,Sports,336,6,2016,31-01-2026,Peshawar
1182,T-Shirt,Fashion,329,7,2303,04-04-2025,Islamabad
1183,Cricket Bat,Sports,440,4,1760,05-03-2025,Quetta
1184,Cricket Bat,Sports,249,3,747,22-09-2025,Peshawar
1185,Lipstick,Beauty,330,10,3300,22-12-2025,Quetta
1186,Wireless Mouse,Electronics,176,7,1232,02-11-2025,Lahore
1187,Jacket,Fashion,51,8,408,21-11-2025,Peshawar
1188,Table,Home,262,10,2620,17-03-2025,Islamabad
1189,Table,Home,120,7,840,05-02-2025,Karachi
1190,Smart Watch,Electronics,42,2,84,24-05-2025,Lahore
1191,Lipstick,Beauty,58,3,174,28-05-2025,Karachi
1192,Jacket,Fashion,172,2,344,26-04-2025,Karachi
1193,Jacket,Fashion,417,5,2085,02-06-2025,Quetta
1194,Football,Sports,385,10,3850,21-04-2026,Islamabad
1195,Shoes,Fashion,94,1,94,25-05-2025,Karachi
1196,Cricket Bat,Sports,492,3,1476,11-03-2025,Peshawar
1197,History Book,Books,41,10,410,14-03-2026,Quetta
1198,Table,Home,90,8,720,16-05-2026,Peshawar
1199,Shampoo,Beauty,176,6,1056,10-03-2026,Peshawar
1200,Novel,Books,113,2,226,27-10-2025,Peshawar
1201,Science Book,Books,365,1,365,20-04-2026,Lahore
1202,History Book,Books,397,7,2779,13-06-2025,Islamabad
1203,Face Wash,Beauty,182,6,1092,07-01-2026,Islamabad
1204,Cricket Bat,Sports,500,2,1000,08-10-2025,Islamabad
1205,Jacket,Fashion,469,9,4221,04-07-2025,Peshawar
1206,Tennis Ball,Sports,264,10,2640,20-11-2025,Islamabad
1207,Lamp,Home,260,10,2600,10-09-2025,Lahore
1208,Face Wash,Beauty,194,5,970,28-01-2026,Quetta
1209,Lipstick,Beauty,242,8,1936,01-03-2026,Islamabad
1210,Gym Gloves,Sports,135,4,540,24-05-2025,Islamabad
1211,Math Guide,Books,94,2,188,19-02-2026,Lahore
1212,Smart Watch,Electronics,447,8,3576,03-04-2026,Quetta
1213,Tennis Ball,Sports,63,1,63,08-06-2025,Lahore
1214,Table,Home,408,9,3672,21-03-2026,Quetta
1215,Headphones,Electronics,336,4,1344,12-09-2025,Islamabad
1216,Gym Gloves,Sports,196,3,588,28-04-2026,Lahore
1217,Headphones,Electronics,374,5,1870,08-11-2025,Karachi
1218,Tennis Ball,Sports,172,7,1204,02-12-2025,Peshawar
1219,History Book,Books,259,1,259,13-06-2025,Karachi
1220,Science Book,Books,489,1,489,06-03-2025,Karachi
1221,Keyboard,Electronics,65,8,520,07-10-2025,Quetta
1222,History Book,Books,420,6,2520,28-01-2026,Peshawar
1223,Math Guide,Books,360,2,720,08-06-2025,Lahore
1224,Wireless Mouse,Electronics,245,2,490,06-05-2026,Lahore
1225,Lamp,Home,469,7,3283,29-09-2025,Lahore
1226,Science Book,Books,122,10,1220,04-04-2026,Lahore
1227,Shoes,Fashion,169,4,676,23-02-2026,Islamabad
1228,T-Shirt,Fashion,266,10,2660,22-04-2025,Lahore
1229,Lamp,Home,242,7,1694,02-04-2026,Peshawar
1230,Math Guide,Books,350,9,3150,02-02-2025,Peshawar
1231,Shampoo,Beauty,257,3,771,13-04-2025,Peshawar
1232,Lipstick,Beauty,356,1,356,10-08-2025,Lahore
1233,Shoes,Fashion,485,10,4850,18-12-2025,Quetta
1234,Math Guide,Books,103,5,515,26-09-2025,Islamabad
1235,Wireless Mouse,Electronics,160,7,1120,24-08-2025,Islamabad
1236,Tennis Ball,Sports,59,9,531,19-08-2025,Karachi
1237,Football,Sports,356,9,3204,19-02-2025,Peshawar
1238,Jeans,Fashion,267,7,1869,06-02-2026,Karachi
1239,Headphones,Electronics,122,9,1098,10-02-2025,Quetta
1240,Lamp,Home,164,2,328,25-01-2025,Islamabad
1241,Science Book,Books,100,8,800,19-06-2025,Islamabad
1242,Shampoo,Beauty,489,3,1467,16-05-2025,Lahore
1243,Jacket,Fashion,95,5,475,15-02-2025,Peshawar
1244,Math Guide,Books,119,1,119,18-04-2026,Lahore
1245,Cricket Bat,Sports,385,6,2310,10-03-2025,Islamabad
1246,Wireless Mouse,Electronics,161,2,322,17-01-2025,Quetta
1247,Tennis Ball,Sports,499,2,998,06-05-2025,Lahore
1248,Novel,Books,277,2,554,13-09-2025,Quetta
1249,Chair,Home,319,1,319,21-02-2026,Islamabad
1250,T-Shirt,Fashion,219,7,1533,06-02-2025,Karachi
1251,Math Guide,Books,195,9,1755,27-04-2026,Islamabad
1252,Math Guide,Books,307,1,307,10-05-2026,Islamabad
1253,Face Wash,Beauty,473,1,473,26-03-2026,Islamabad
1254,Smart Watch,Electronics,218,7,1526,24-12-2025,Lahore
1255,Gym Gloves,Sports,81,2,162,08-05-2025,Peshawar
1256,T-Shirt,Fashion,146,1,146,16-01-2025,Islamabad
1257,Jacket,Fashion,117,9,1053,28-09-2025,Karachi
1258,Jeans,Fashion,335,8,2680,07-02-2026,Quetta
1259,Novel,Books,119,6,714,14-09-2025,Peshawar
1260,Lamp,Home,181,6,1086,05-01-2025,Lahore
1261,Shoes,Fashion,414,1,414,08-05-2025,Lahore
1262,Football,Sports,364,4,1456,03-08-2025,Peshawar
1263,Chair,Home,46,4,184,23-08-2025,Peshawar
1264,Smart Watch,Electronics,418,10,4180,20-04-2026,Peshawar
1265,Football,Sports,470,5,2350,12-03-2025,Islamabad
1266,Wireless Mouse,Electronics,322,1,322,15-10-2025,Quetta
1267,Lipstick,Beauty,293,3,879,14-03-2026,Quetta
1268,Coffee Mug,Home,271,10,2710,18-04-2025,Peshawar
1269,Gym Gloves,Sports,232,3,696,02-09-2025,Karachi
1270,Keyboard,Electronics,289,2,578,06-10-2025,Peshawar
1271,Cricket Bat,Sports,230,5,1150,17-03-2025,Peshawar
1272,Gym Gloves,Sports,427,5,2135,28-03-2025,Peshawar
1273,Table,Home,157,5,785,30-03-2025,Karachi
1274,Lamp,Home,113,5,565,12-08-2025,Islamabad
1275,T-Shirt,Fashion,201,10,2010,28-08-2025,Peshawar
1276,Headphones,Electronics,262,3,786,21-11-2025,Karachi
1277,Perfume,Beauty,186,9,1674,08-05-2025,Islamabad
1278,Shoes,Fashion,400,6,2400,01-02-2026,Peshawar
1279,Lipstick,Beauty,221,5,1105,10-02-2026,Lahore
1280,Table,Home,499,2,998,28-01-2025,Lahore
1281,Cricket Bat,Sports,274,1,274,11-07-2025,Islamabad
1282,Table,Home,435,8,3480,31-03-2025,Islamabad
1283,Face Wash,Beauty,267,4,1068,14-03-2025,Quetta
1284,Lamp,Home,418,3,1254,05-11-2025,Karachi
1285,Face Wash,Beauty,448,6,2688,10-08-2025,Peshawar
1286,Cricket Bat,Sports,270,10,2700,30-10-2025,Islamabad
1287,Face Wash,Beauty,425,7,2975,25-01-2025,Islamabad
1288,Tennis Ball,Sports,479,8,3832,07-05-2026,Karachi
1289,Jacket,Fashion,186,5,930,19-06-2025,Karachi
1290,Face Wash,Beauty,165,3,495,13-11-2025,Peshawar
1291,Science Book,Books,220,6,1320,03-03-2025,Islamabad
